id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2506.22677v2,A Quantum Framework for Protein Binding-Site Structure Prediction on Utility-Level Quantum Processors,"['Yuqi Zhang', 'Yuxin Yang', 'William Martin', 'Kingsten Lin', 'Zixu Wang', 'Cheng-Chang Lu', 'Weiwen Jiang', 'Ruth Nussinov', 'Joseph Loscalzo', 'Qiang Guan', 'Feixiong Cheng']","Accurate prediction of protein active-site structures remains a central challenge in structural biology, particularly for short and flexible peptide fragments where conventional and simulation-based methods often fail. Here, we present a quantum computing framework specifically developed for utility-level quantum processors to address this problem. Starting from an amino acid sequence, we formulate structure prediction as a ground-state energy minimization problem using the Variational Quantum Eigensolver (VQE). Amino acid connectivity is encoded on a tetrahedral lattice model, and structural constraints-including steric, geometric, and chirality terms-are mapped into a problem-specific Hamiltonian represented as sparse Pauli operators. Optimization is performed with a two-stage architecture that separates energy estimation from measurement decoding, enabling noise mitigation under realistic device conditions. We evaluate the framework on 23 randomly selected protein fragments from the PDBbind dataset and 7 fragments from therapeutically relevant proteins, and execute experiments on the IBM-Cleveland Clinic quantum processor. Predictions are benchmarked against AlphaFold 3 (AF3) and classical simulation-based approaches using identical postprocessing and docking procedures. Our method outperforms both AF3 and classical baselines in RMSD (root-mean-square deviation) and docking efficacy. These results demonstrate an end-to-end, hardware-executable pipeline for biologically relevant structure prediction on real quantum processors, highlighting its engineering feasibility and practical advantages over existing classical and deep learning approaches.",['cs.ET'],2025-06-27T23:02:07+00:00,https://arxiv.org/pdf/2506.22677v2,arxiv://2506.22677v2,11,20
2507.01967v1,Ghost in the Machine: Examining the Philosophical Implications of Recursive Algorithms in Artificial Intelligence Systems,['Llewellin RG Jegels'],"This paper investigates whether contemporary AI architectures employing deep recursion, meta-learning, and self-referential mechanisms provide evidence of machine consciousness. Integrating philosophical history, cognitive science, and AI engineering, it situates recursive algorithms within a lineage spanning Cartesian dualism, Husserlian intentionality, Integrated Information Theory, the Global Workspace model, and enactivist perspectives. The argument proceeds through textual analysis, comparative architecture review, and synthesis of neuroscience findings on integration and prediction. Methodologically, the study combines conceptual analysis, case studies, and normative risk assessment informed by phenomenology and embodied cognition. Technical examples, including transformer self-attention, meta-cognitive agents, and neuromorphic chips, illustrate how functional self-modeling can arise without subjective experience. By distinguishing functional from phenomenal consciousness, the paper argues that symbol grounding, embodiment, and affective qualia remain unresolved barriers to attributing sentience to current AI. Ethical analysis explores risks of premature anthropomorphism versus neglect of future sentient systems; legal implications include personhood, liability, authorship, and labor impacts. Future directions include quantum architectures, embodied robotics, unsupervised world modeling, and empirical tests for non-biological phenomenality. The study reframes the ""hard problem"" as a graded and increasingly testable phenomenon, rather than a metaphysical impasse. It concludes that recursive self-referential design enhances capability but does not entail consciousness or justify moral status. Keywords: Recursive algorithms; self-reference; machine consciousness; AI ethics; AI consciousness",['q-bio.NC'],2025-06-18T08:44:35+00:00,https://arxiv.org/pdf/2507.01967v1,arxiv://2507.01967v1,12,20
2505.15705v1,Quantum Dots as Functional Nanosystems for Enhanced Biomedical Applications,"['Pronama Biswas', 'Asmita Saha', 'Bhoomika Sridhar', 'Anwesha Patel', 'Belaguppa Manjunath Ashwin Desai']","Quantum dots (QDs) have emerged as promising nanomaterials with unique optical and physical properties, making them highly attractive for various applications in biomedicine. This review provides a comprehensive overview of the types, modes of synthesis, characterization, applications, and recent advances of QDs in the field of biomedicine, with a primary focus on bioimaging, drug delivery, and biosensors. The unique properties of QDs, such as tunable emission spectra, long-term photostability, high quantum yield, and targeted drug delivery, hold tremendous promise for advancing diagnostics, therapeutics, and imaging techniques in biomedical research. However, several significant hurdles remain before their full potential in the biomedical field, like bioaccumulation, toxicity, and short-term stability. Addressing these hurdles is essential to effectively incorporate QDs into clinical use and enhance their influence on healthcare outcomes. Furthermore, the review conducts a critical analysis of potential QD toxicity and explores recent progress in strategies and methods to mitigate these adverse effects, such as surface modification, surface coatings, and encapsulation. By thoroughly examining current research and recent advancements, this comprehensive review offers invaluable insights into both the future possibilities and the challenges that lie ahead in fully harnessing the potential of QDs in the field of biomedicine, promising a revolution in the landscape of medical diagnostics, therapies, and imaging technologies.","['physics.bio-ph', 'physics.med-ph', 'q-bio.BM']",2025-05-21T16:18:39+00:00,https://arxiv.org/pdf/2505.15705v1,arxiv://2505.15705v1,13,20
2502.18713v2,Symmetries of Living Systems: Symmetry Fibrations and Synchronization in Biological Networks,"['Hernan A. Makse', 'Paolo Boldi', 'Francesco Sorrentino', 'Ian Stewart']","A symmetry is a `change without change'. As simple as it sounds, this concept is the fundamental cornerstone that unifies all branches of theoretical physics. Virtually all physical laws -- ranging from classical mechanics and electrodynamics to relativity, quantum mechanics, and the standard model -- can be expressed in terms of symmetry invariances. In this book, we explore whether the same principle can also explain the emergent laws of biological systems. We introduce a new geometry for biological networks and AI architectures, drawing inspiration from the mystic genius of Grothendieck's fibrations in category theory. We attempt to bridge the gap between physics and biology using symmetries but with a twist. The traditional symmetry groups of physics are global and too rigid to describe biology. Instead, the novel notion of symmetry fibration is local, flexible, and adaptable to evolutionary pressures, providing the right framework for understanding biological complexity. In other words, this more general symmetry invariance is necessary and sufficient to ensure that a given biological network configuration can support a synchronized function. In this book, we review the theoretical progress over the last decades from mathematics, physics, computer science, dynamical systems, and graph theory that has led to the discovery of symmetry fibrations in biological networks. These symmetries act as organizing principles for biological networks. They serve as effective tools for describing the structure of these networks, blending geometry and topology. Fibrations explain how structure dictates function across various biological domains, including the transcriptome, proteome, metabolome, and connectome. Additionally, they facilitate a reduction in the dimensionality of the network, simplifying it into its fundamental building blocks for biological computation.","['q-bio.MN', 'cond-mat.dis-nn', 'physics.bio-ph']",2025-02-26T00:15:54+00:00,https://arxiv.org/pdf/2502.18713v2,arxiv://2502.18713v2,14,20
2502.13140v2,Towards Quantum Tensor Decomposition in Biomedical Applications,"['Myson Burch', 'Jiasen Zhang', 'Gideon Idumah', 'Hakan Doga', 'Richard Lartey', 'Lamis Yehia', 'Mingrui Yang', 'Murat Yildirim', 'Mihriban Karaayvaz', 'Omar Shehab', 'Weihong Guo', 'Ying Ni', 'Laxmi Parida', 'Xiaojuan Li', 'Aritra Bose']","Tensor decomposition has emerged as a powerful framework for feature extraction in multi-modal biomedical data. In this review, we present a comprehensive analysis of tensor decomposition methods such as Tucker, CANDECOMP/PARAFAC, spiked tensor decomposition, etc. and their diverse applications across biomedical domains such as imaging, multi-omics, and spatial transcriptomics. To systematically investigate the literature, we applied a topic modeling-based approach that identifies and groups distinct thematic sub-areas in biomedicine where tensor decomposition has been used, thereby revealing key trends and research directions. We evaluated challenges related to the scalability of latent spaces along with obtaining the optimal rank of the tensor, which often hinder the extraction of meaningful features from increasingly large and complex datasets. Additionally, we discuss recent advances in quantum algorithms for tensor decomposition, exploring how quantum computing can be leveraged to address these challenges. Our study includes a preliminary resource estimation analysis for quantum computing platforms and examines the feasibility of implementing quantum-enhanced tensor decomposition methods on near-term quantum devices. Collectively, this review not only synthesizes current applications and challenges of tensor decomposition in biomedical analyses but also outlines promising quantum computing strategies to enhance its impact on deriving actionable insights from complex biomedical data.","['q-bio.QM', 'cs.LG']",2025-02-18T18:58:35+00:00,https://arxiv.org/pdf/2502.13140v2,arxiv://2502.13140v2,15,20
2501.03620v1,Single-molecule Scale Magnetic Resonance Spectroscopy using Nitrogen-Vacancy Centers in Diamond,"['Jiangfeng Du', 'Fazhan Shi', 'Xi Kong', 'Fedor Jekezko', 'Jörg Wrachtrup']","Single-molecule technology stands as a powerful tool, enabling the characterization of intricate structural and dynamic information that would otherwise remain concealed within the averaged behaviors of numerous molecules. This technology finds extensive application across diverse fields including physics, chemistry, biology, and medicine. Quantum sensing, particularly leveraging nitrogen-vacancy (NV) centers within diamond structures, presents a promising avenue for single-molecule magnetic resonance, offering prospects for sensing and imaging technology at the single-molecule level. Notably, while significant strides have been made in single-molecule scale magnetic resonance using NV centers over the past two decades, current approaches still exhibit limitations in magnetic sensitivity, spectral resolution, and spatial resolution. Particularly, the full reconstruction of three-dimensional positions of nuclear spins within single molecules remains an unattained goal. This review provides a comprehensive overview of the current state-of-the-art in single-molecule scale magnetic resonance, encompassing an analysis of various relevant techniques involving NV centers. Additionally, it explores the optimization of technical parameters associated with these methods. This detailed analysis serves as a foundation for the development of new technologies and the exploration of potential applications.","['quant-ph', 'cond-mat.mes-hall', 'physics.app-ph', 'physics.ins-det']",2025-01-07T08:40:44+00:00,https://arxiv.org/pdf/2501.03620v1,arxiv://2501.03620v1,16,20
2412.13836v1,Fool's gold: ligand-receptor interactions and the origins of life,"['Betony Adams', 'Angela Illing', 'Francesco Petruccione']","The origins of life is a question that continues to intrigue scientists across disciplines. One theory - the iron-sulphur theory - suggests that reactions essential to the synthesis of biological materials got their catalytic 'spark' from mineral surfaces such as iron pyrite, commonly known as fool's gold. Additionally, the binding affinity of the ligands synthesised in this 'surface metabolism' acted as an early version of natural selection: more strongly-binding ligands were accumulated into further autocatalytic reactions and the aggregation of complex biological materials. Ligand-receptor binding is thus fundamental to the origins of life. In this paper, we use the iron-sulphur theory as a lens through which to review ligand-receptor interactions as they are more commonly understood today. In particular we focus on the electron tunnelling theory of receptor activation that has emerged from research into quantum biology. We revisit criticism against this theory, particularly the lack of evidence for electron transfer in receptors, to see what insights might be offered by ligand-receptor interactions mediated by iron pyrite at the origins of life. What emerges from this comparison is the central importance of redox activity in receptors, in particular with respect to the recurring presence of the disulphide bond. While the paper is a speculative exercise, we conclude that conductivity in biomolecules, particularly the selective conductivity conferred by appropriate ligand-receptor binding, is a powerful tool for understanding diverse phenomena such as pharmacological potency and viral infection. As such it deserves further investigation.","['physics.bio-ph', 'quant-ph']",2024-12-18T13:26:12+00:00,https://arxiv.org/pdf/2412.13836v1,arxiv://2412.13836v1,17,20
2410.18222v2,Kubo-Martin-Schwinger states of Path-structured Flow in Directed Brain Synaptic Networks,"['El-kaïoum M. Moutuou', 'Habib Benali']","The brain's synaptic network, characterized by parallel connections and feedback loops, drives interaction pathways between neurons through a large system with infinitely many degrees of freedom. This system is best modeled by the graph C*-algebra of the underlying directed graph, the Toeplitz-Cuntz-Krieger (TCK) algebra, which captures the diversity of path-structured flow connectivity. Equipped with the gauge action, the TCK algebra defines an {\em algebraic quantum system}, and here we demonstrate that its thermodynamic properties provide a natural framework for describing the dynamic mappings of potential flow pathways within the network. Specifically, the KMS states of this system represent the stationary distributions of a non-Markovian stochastic process with memory decay, capturing how influence propagates along exponentially weighted paths, and yield global statistical measures of neuronal interactions. Applied to the {\em C. elegans} synaptic network, our framework reveals that neurolocomotor neurons emerge as the primary hubs of incoming path-structured flow at inverse temperatures where the entropy of KMS states peaks. This finding aligns with experimental evidence of the foundational role of locomotion in {\em C. elegans} behavior, suggesting that functional centrality may arise from the topological embedding of neurons rather than solely from local physiological properties. Our results highlight the potential of algebraic quantum methods and graph algebras to uncover patterns of functional organization in complex systems and neuroscience.","['q-bio.NC', 'cond-mat.dis-nn', 'cond-mat.stat-mech', 'quant-ph']",2024-10-23T18:53:10+00:00,https://arxiv.org/pdf/2410.18222v2,arxiv://2410.18222v2,18,20
2409.00681v1,A Real-time Instanton Approach to Quantum Activation,"['Chang-Woo Lee', 'Paul Brookes', 'Kee-Su Park', 'Marzena H. Szymańska', 'Eran Ginossar']","Driven-dissipative nonlinear systems exhibit rich critical behavior, related to bifurcation, bistability and switching, which underlie key phenomena in areas ranging from physics, chemistry and biology to social sciences and economics. The importance of rare fluctuations leading to a dramatic jump between two very distinct states, such as survival and extinction in population dynamics, success and bankruptcy in economics and the occurrence of earthquakes or of epileptic seizures, have been already established. In the quantum domain, switching is of importance in both chemical reactions and the devices used in quantum state detection and amplification. In particular, the simplest driven single oscillator model serves as an insightful starting point. Here we describe switching induced by quantum fluctuations and illustrate that an instanton approach within Keldysh field theory can provide a deep insight into such phenomena. We provide a practical recipe to compute the switching rates semi-analytically, which agrees remarkably well with exact solutions across a wide domain of drive amplitudes spanning many orders of magnitude. Being set up in the framework of Keldysh coherent states path integrals, our approach opens the possibility of studying quantum activation in many-body systems where other approaches are inapplicable.",['quant-ph'],2024-09-01T09:56:33+00:00,https://arxiv.org/pdf/2409.00681v1,arxiv://2409.00681v1,19,20
2408.14221v3,Brain functions emerge as thermal equilibrium states of the connectome,"['Elkaïoum M. Moutuou', 'Habib Benali']","A fundamental idea in neuroscience is that cognitive functions -- such as perception, learning, memory, and locomotion -- are shaped and constrained by the brain's structural organization. Despite significant progress in mapping and analyzing structural connectomes, the principles linking the brain's physical architecture to its functional capabilities remain elusive. Here, we introduce an algebraic quantum model to bridge this theoretical gap, offering new insights into the relationship between the connectome and emergent brain functions, while connecting structural data to functional predictions. Using the well-mapped C. elegans anatomical and extrasynaptic connectomes, we demonstrate that brain functions, defined as functional networks of a neural system, emerge as thermal equilibrium states of an algebraic quantum system derived from the graph algebra of the underlying directed multigraph. Specifically, these equilibrium states, characterized by the Kubo-Martin-Schwinger (KMS) formalism, reveal how individual neurons contribute to functional network formation. Our model illuminates the structure-function relationship in neural circuits through two key features: (1) a functional connectome that delineates topologically driven neuronal interactions and (2) an Integration Capacity (IC) index that quantifies how effectively neurons coordinate and modulate diverse information flows. Together, these features provide a statistical and mechanistic account of information flow and reveal how the network topology of the connectome predicts cognition and complex behaviors.","['q-bio.NC', 'cond-mat.dis-nn', 'cond-mat.stat-mech', 'math.OA', 'quant-ph']",2024-08-26T12:35:16+00:00,https://arxiv.org/pdf/2408.14221v3,arxiv://2408.14221v3,20,20
